market,year,stock_nom,bond_nom,cpi
us,2007,-1.4236,13.6037,4.2803
us,2008,-35.6304,14.7711,0.0298
us,2009,33.2576,-6.8747,2.6257
us,2010,16.3875,6.0972,1.6318
us,2011,3.408,16.151,2.9252
us,2012,16.226,2.3226,1.5949
us,2013,25.6086,-5.9099,1.5789
us,2014,13.479,11.7725,-0.0893
us,2015,-3.4418,0.209,1.3731
us,2016,21.1129,-1.2519,2.5
us,2017,24.9941,0.9945,2.0705
us,2018,-4.7478,1.7521,1.5512
us,2019,28.1501,11.034,2.4866
us,2020,17.8649,7.3093,1.3998
us,2021,22.2143,-4.7918,7.4799
us,2022,-12.0094,-11.8956,6.4101
us,2023,23.5345,-0.5185,3.0909
us,2024,25.8191,-0.4539,3.0005
us,2025,17.3308,7.9187,2.3864
japan,1886,94.5161,18.2888,-11.8136
japan,1887,-5.0012,5.8923,6.3443
japan,1888,7.3316,3.1313,-1.7077
japan,1889,30.4742,7.1014,5.889
japan,1890,-18.456,3.3633,6.6269
japan,1891,3.8199,16.5637,-4.1966
japan,1892,56.7299,6.3906,-6.7584
japan,1893,7.3621,9.0189,1.2081
japan,1894,24.4484,-6.5036,3.183
japan,1895,34.496,5.7914,9.4473
japan,1896,54.4106,3.36,10.0411
japan,1897,-34.3973,2.8323,11.4194
japan,1898,-26.1092,5.6763,8.461
japan,1899,33.1448,5.6014,-5.6373
japan,1900,-16.1789,1.238,12.3538
japan,1901,-8.4584,0.3706,-2.1796
japan,1902,41.6449,10.3295,3.8745
japan,1903,16.9015,6.506,5.0007
japan,1904,1.3822,-1.6033,2.3162
japan,1905,46.6028,11.0594,3.8535
japan,1906,86.0787,6.5172,1.9716
japan,1907,-12.0725,1.0245,10.4599
japan,1908,-34.0965,6.4768,-3.4464
japan,1909,33.8814,15.5649,-3.8847
japan,1910,33.6711,9.29,0.2577
japan,1911,-11.3685,-3.7351,7.455
japan,1912,9.6532,-0.902,5.5459
japan,1913,0.029,3.3752,3.0291
japan,1914,-3.1652,0.8719,-7.88
japan,1915,32.7101,14.1002,-6.4047
japan,1916,95.5091,5.2729,8.0376
japan,1917,-6.7291,4.522,22.6731
japan,1918,19.2559,2.1139,34.6023
japan,1919,36.7431,2.3707,33.0473
japan,1920,-3.0862,1.3159,4.6032
japan,1921,-12.639,8.3253,-8.3575
japan,1922,-3.8429,5.9547,-1.5191
japan,1923,7.995,6.9164,-0.9007
japan,1924,7.429,6.5219,0.8932
japan,1925,12.2518,7.7953,1.2114
japan,1926,16.2757,6.3501,-4.5371
japan,1927,-6.5348,10.6812,-1.5324
japan,1928,10.6082,6.7999,-3.7982
japan,1929,-10.8193,3.9014,-2.2909
japan,1930,-27.4075,5.3372,-10.1598
japan,1931,12.479,0.7343,-11.5278
japan,1932,13.4861,18.2544,1.1143
japan,1933,33.7659,9.7576,3.0541
japan,1934,5.999,4.3421,1.4119
japan,1935,9.333,5.984,2.4743
japan,1936,8.1843,2.9045,2.3137
japan,1937,17.7164,4.703,7.8031
japan,1938,-2.3711,5.3559,9.5981
japan,1939,7.5086,4.3386,11.8177
japan,1940,9.5591,2.9784,16.2611
japan,1941,-17.9195,3.83,1.3995
japan,1942,24.8502,3.78,2.7562
japan,1943,23.0098,3.77,6.0423
japan,1944,7.2212,3.76,35.2921
japan,1945,3.8293,3.76,975.6406
japan,1946,,3.7,90.7032
japan,1947,,3.7,125.3268
japan,1948,47.5098,4.5,75.9274
japan,1949,113.0685,5.52,31.8874
japan,1950,-27.8197,5.5,-6.8667
japan,1951,42.1481,5.5,17.9678
japan,1952,81.0193,5.5,4.9895
japan,1953,56.9774,5.5,6.5533
japan,1954,-7.8938,6.32,6.4319
japan,1955,21.1224,6.32,-1.191
japan,1956,46.4588,6.34,0.4464
japan,1957,17.6345,6.32,3.1111
japan,1958,12.5268,6.32,-0.431
japan,1959,53.7497,6.32,0.8658
japan,1960,36.3173,6.43,3.8627
japan,1961,20.459,6.43,5.3719
japan,1962,-2.0124,6.43,6.6667
japan,1963,10.7045,6.43,7.7206
japan,1964,-8.8919,6.892,3.7543
japan,1965,0.4956,7.354,6.5789
japan,1966,25.8591,7.1021,5.2469
japan,1967,5.6219,6.3718,3.8123
japan,1968,13.8424,6.582,5.3672
japan,1969,34.0694,6.624,5.3619
japan,1970,9.358,6.651,7.6336
japan,1971,12.7328,6.76,6.0694
japan,1972,61.18,8.758,4.6321
japan,1973,30.8977,-0.1895,11.4583
japan,1974,-12.4472,5.6519,24.5327
japan,1975,5.0883,7.9958,11.8199
japan,1976,14.6413,8.1222,9.396
japan,1977,10.2241,21.6409,7.9755
japan,1978,13.7539,7.3601,3.8352
japan,1979,10.1402,-5.9665,3.5568
japan,1980,6.383,6.6298,8.0581
japan,1981,17.5476,13.9202,4.89
japan,1982,0.6099,10.2312,2.6807
japan,1983,22.3083,11.1957,1.8161
japan,1984,27.473,13.0005,2.2297
japan,1985,21.5267,11.859,1.9629
japan,1986,31.6922,6.0919,0.6417
japan,1987,47.5165,4.5965,0.1063
japan,1988,9.6631,4.9065,0.7431
japan,1989,20.6925,-0.851,2.2129
japan,1990,-13.175,-1.7408,3.0928
japan,1991,-15.5095,16.1071,3.3
japan,1992,-26.12,11.5334,1.6457
japan,1993,12.973,15.0031,1.3333
japan,1994,6.5417,-6.2245,0.6579
japan,1995,-13.6819,15.7742,-0.0934
japan,1996,16.9805,7.1756,0.0935
japan,1997,-12.7927,10.7799,1.774
japan,1998,-14.8928,2.4724,0.6422
japan,1999,20.5168,4.5104,-0.2735
japan,2000,12.0549,1.4769,-0.7313
japan,2001,-21.7895,5.542,-0.7397
japan,2002,-16.842,6.7754,-0.9242
japan,2003,-4.5522,-2.7012,-0.2586
japan,2004,25.2901,1.7643,-0.0103
japan,2005,15.39,1.9996,-0.283
japan,2006,27.1687,0.4491,0.2518
japan,2007,2.6862,3.8805,0.0628
japan,2008,-27.3467,5.4805,1.3845
japan,2009,-24.9922,0.9678,-1.3494
japan,2010,3.7754,3.9183,-0.722
japan,2011,-4.8242,3.4296,-0.2724
japan,2012,-4.3643,3.6148,-0.0561
japan,2013,72.1681,1.6944,0.343
japan,2014,10.3854,5.3687,2.7614
